,business_id,caption,label,photo_id,class_names_label,path,image
2369,XnJeadLrlj9AZB8qSdIR2Q,amazing shaved lychee ice with mango slush and mango flavored aloe,drink,_4NoUsJrF-7JR4pE1mt7KA,0,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_4NoUsJrF-7JR4pE1mt7KA.jpg,"[[[ 28  13  10]
  [ 18   8   6]
  [  5   4   0]
  ...
  [ 44  21  13]
  [ 33  15  11]
  [ 18   6   6]]

 [[ 30  15  12]
  [ 20  10   8]
  [  6   5   0]
  ...
  [ 46  23  15]
  [ 31  16  13]
  [ 13   3   2]]

 [[ 31  15  15]
  [ 22  12  10]
  [  8   7   3]
  ...
  [ 53  33  26]
  [ 36  22  19]
  [ 16   8   6]]

 ...

 [[ 88  64 112]
  [ 90  66 116]
  [ 91  66 123]
  ...
  [ 50  31  24]
  [ 45  22  16]
  [ 37  12   5]]

 [[ 89  64 121]
  [ 92  67 124]
  [ 92  67 124]
  ...
  [ 53  33  24]
  [ 48  23  16]
  [ 44  15   9]]

 [[ 91  65 126]
  [ 93  68 126]
  [ 93  68 125]
  ...
  [ 56  33  27]
  [ 52  24  20]
  [ 47  16  13]]]"
2469,5Ktv5ZmJI0CN4L0KxDWJvw,,food,_AV4GyfpqTJ8b08ZsKheWA,1,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_AV4GyfpqTJ8b08ZsKheWA.jpg,"[[[ 80  77  68]
  [ 89  71  71]
  [100  69  75]
  ...
  [110  80  88]
  [104  74  82]
  [ 99  69  77]]

 [[ 88  72  73]
  [ 89  73  74]
  [ 97  77  76]
  ...
  [112  82  90]
  [106  76  84]
  [101  71  79]]

 [[100  67  78]
  [ 92  76  79]
  [ 93  83  81]
  ...
  [111  84  91]
  [107  77  85]
  [102  72  80]]

 ...

 [[ 47  10  18]
  [ 49  10  13]
  [ 49  15  14]
  ...
  [ 53  17  17]
  [ 50  16  15]
  [ 48  14  15]]

 [[ 43   6  14]
  [ 43   7  11]
  [ 43  11  12]
  ...
  [ 51  15  17]
  [ 49  15  16]
  [ 45  13  14]]

 [[ 40   5  12]
  [ 40   5  11]
  [ 40  10  10]
  ...
  [ 49  13  15]
  [ 48  13  17]
  [ 45  13  16]]]"
2476,JsUprRhyzQyukZmAhcOg0A,,food,_aPXgB4dLDum0BNoyh3ciQ,1,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_aPXgB4dLDum0BNoyh3ciQ.jpg,"[[[191 144 100]
  [199 151 105]
  [200 149 102]
  ...
  [220 197 163]
  [217 194 160]
  [217 192 161]]

 [[190 139  96]
  [191 140  97]
  [197 146 103]
  ...
  [211 188 154]
  [212 189 157]
  [215 192 161]]

 [[180 127  87]
  [180 128  88]
  [181 131  94]
  ...
  [208 185 151]
  [205 182 150]
  [203 180 149]]

 ...

 [[170 137 106]
  [167 136 107]
  [142 116  91]
  ...
  [253 253 251]
  [252 252 250]
  [251 251 249]]

 [[176 142 105]
  [167 134  99]
  [161 132 102]
  ...
  [253 253 251]
  [252 252 250]
  [251 251 249]]

 [[169 134  94]
  [169 135  98]
  [172 142 108]
  ...
  [253 253 251]
  [252 252 250]
  [251 251 249]]]"
2649,6qpTAyZ1vUhNCF4tKJYr1g,,inside,__13jmzpHK2ANn_HcVSQHQ,2,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/__13jmzpHK2ANn_HcVSQHQ.jpg,"[[[14 16 13]
  [14 16 15]
  [14 14 14]
  ...
  [26 30 33]
  [29 33 36]
  [31 35 38]]

 [[13 15 12]
  [12 14 11]
  [12 12 12]
  ...
  [27 31 34]
  [30 34 37]
  [32 36 39]]

 [[12 17 13]
  [13 15 12]
  [12 14 13]
  ...
  [27 31 34]
  [30 34 37]
  [32 36 39]]

 ...

 [[21 20 15]
  [25 24 19]
  [26 23 18]
  ...
  [31 30 28]
  [23 22 20]
  [26 25 23]]

 [[21 20 15]
  [27 24 19]
  [26 23 18]
  ...
  [32 31 29]
  [25 24 22]
  [28 27 25]]

 [[21 20 15]
  [26 23 18]
  [26 23 16]
  ...
  [30 29 27]
  [24 23 21]
  [28 27 25]]]"
3438,lZTiB75nCqHc8Q4vGZdmoA,,inside,__UlOmGxszZeq39PNn-COQ,2,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/__UlOmGxszZeq39PNn-COQ.jpg,"[[[121  28  39]
  [ 70  15  20]
  [ 23  22  17]
  ...
  [ 22  15  23]
  [ 20  19  25]
  [ 19  24  27]]

 [[130  33  44]
  [ 81  16  22]
  [ 34  14  13]
  ...
  [ 23  16  24]
  [ 21  20  25]
  [ 20  25  28]]

 [[118  21  28]
  [ 82  10  14]
  [ 50   9  13]
  ...
  [ 21  14  22]
  [ 20  19  24]
  [ 19  24  27]]

 ...

 [[ 18  16  17]
  [ 17  15  16]
  [ 17  15  16]
  ...
  [ 18  19  24]
  [ 19  20  25]
  [ 21  22  27]]

 [[ 19  17  18]
  [ 18  16  17]
  [ 17  15  16]
  ...
  [ 18  19  24]
  [ 19  20  25]
  [ 21  22  27]]

 [[ 20  18  19]
  [ 19  17  18]
  [ 17  15  16]
  ...
  [ 18  19  24]
  [ 19  20  25]
  [ 21  22  27]]]"
3665,JlkHGjgS3MJ5FqEDJdu8xQ,,inside,_B_OE7U3F2iK_tTKp2Oi3Q,2,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_B_OE7U3F2iK_tTKp2Oi3Q.jpg,"[[[ 17  17  17]
  [ 17  17  17]
  [ 17  17  17]
  ...
  [236 224  90]
  [242 231 105]
  [247 238 117]]

 [[ 19  19  19]
  [ 19  19  19]
  [ 19  19  19]
  ...
  [246 226 103]
  [255 236 117]
  [255 244 129]]

 [[ 16  16  16]
  [ 16  16  16]
  [ 16  16  16]
  ...
  [255 224 109]
  [254 218 106]
  [248 208  97]]

 ...

 [[162 150 138]
  [168 156 142]
  [196 182 169]
  ...
  [121  53  30]
  [123  52  32]
  [123  52  32]]

 [[158 148 136]
  [153 141 129]
  [185 173 159]
  ...
  [121  48  33]
  [120  46  33]
  [122  46  33]]

 [[155 145 135]
  [148 136 124]
  [188 176 162]
  ...
  [115  45  35]
  [113  45  34]
  [112  44  33]]]"
3800,MYnD-mEnOXNqrfIT2GeZqA,,inside,_1b6ryu204FlnYQfLgP85A,2,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_1b6ryu204FlnYQfLgP85A.jpg,"[[[112  83  69]
  [ 91  66  62]
  [ 55  40  47]
  ...
  [141 131 132]
  [111 101 102]
  [ 82  72  73]]

 [[106  81  76]
  [ 92  72  74]
  [ 39  27  39]
  ...
  [ 27  18  19]
  [ 17   8   9]
  [ 11   2   3]]

 [[ 94  72  74]
  [104  87  95]
  [ 46  34  48]
  ...
  [ 22  13  16]
  [ 22  13  16]
  [ 23  14  17]]

 ...

 [[ 14   8  10]
  [ 15   9  11]
  [ 16  10  10]
  ...
  [132 113 133]
  [140 122 148]
  [133 117 144]]

 [[ 14   8  10]
  [ 15   9   9]
  [ 16  10  10]
  ...
  [148 130 146]
  [142 125 144]
  [121 106 127]]

 [[ 14   8   8]
  [ 15   9   9]
  [ 16  10  10]
  ...
  [170 153 159]
  [153 140 149]
  [124 111 121]]]"
3805,tt9Jy2HBhkKpEG3KxFX0fQ,,inside,_3AhkiPsFOfec1Id7uxSZw,2,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_3AhkiPsFOfec1Id7uxSZw.jpg,"[[[161 151 150]
  [166 157 150]
  [172 162 150]
  ...
  [103  84  52]
  [ 97  77  50]
  [ 89  72  46]]

 [[159 158 154]
  [165 162 153]
  [170 168 153]
  ...
  [106  85  54]
  [100  81  51]
  [ 92  75  49]]

 [[175 172 167]
  [177 173 162]
  [179 176 157]
  ...
  [103  83  50]
  [ 99  78  47]
  [ 94  74  47]]

 ...

 [[ 44  30  29]
  [ 47  33  30]
  [ 49  35  32]
  ...
  [ 31  25   0]
  [ 46  38   2]
  [ 43  34   3]]

 [[ 41  27  26]
  [ 45  31  28]
  [ 47  33  30]
  ...
  [ 44  40  13]
  [ 54  48  22]
  [ 38  32  10]]

 [[ 39  25  22]
  [ 43  29  26]
  [ 45  32  26]
  ...
  [ 52  50  25]
  [ 62  57  38]
  [ 32  26  14]]]"
3822,-JfncbVURtvuzBbof40o1w,two breakfast meals :),food,_6CHE4cJqCJtrFoPp2aLcw,1,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_6CHE4cJqCJtrFoPp2aLcw.jpg,"[[[ 55   8   0]
  [ 37   4   0]
  [ 19   7   0]
  ...
  [ 41   9  12]
  [ 38   7  12]
  [ 36   5  10]]

 [[131  41  32]
  [122  39  25]
  [ 94  26   7]
  ...
  [ 34   8   7]
  [ 32   8   8]
  [ 29   8   7]]

 [[143  32  39]
  [172  60  56]
  [184  72  52]
  ...
  [ 33  13   6]
  [ 31  12   5]
  [ 30  13   5]]

 ...

 [[ 47  18  12]
  [ 46  15  10]
  [ 48  17  12]
  ...
  [ 27   9   7]
  [ 22   6   6]
  [ 21   7   6]]

 [[ 43  14   8]
  [ 44  13   8]
  [ 50  17  12]
  ...
  [ 26  11   8]
  [ 22   8   7]
  [ 19   7   7]]

 [[ 41  10   5]
  [ 43  12   7]
  [ 51  18  11]
  ...
  [ 27  11  11]
  [ 21   9   9]
  [ 18   8   9]]]"
3836,PEnlf5CJ8JJonph2jIljCg,"Chompie's Mile High Corned Beef Sandwich - ""World's Best Corned Beef Sandwich""",food,_2DiAp8XpOhdeEOUR5r7RA,1,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_2DiAp8XpOhdeEOUR5r7RA.jpg,"[[[ 78  57  36]
  [ 93  72  51]
  [110  89  72]
  ...
  [ 54  40  37]
  [ 59  44  41]
  [ 64  49  46]]

 [[ 82  61  40]
  [ 97  76  55]
  [114  91  73]
  ...
  [ 49  35  32]
  [ 50  35  32]
  [ 49  34  31]]

 [[ 91  69  46]
  [102  80  59]
  [114  91  73]
  ...
  [ 54  41  35]
  [ 49  36  30]
  [ 44  31  25]]

 ...

 [[ 17   3   2]
  [ 16   2   1]
  [ 17   1   2]
  ...
  [ 98  63  43]
  [ 93  58  36]
  [ 96  64  41]]

 [[ 19   4   1]
  [ 17   2   0]
  [ 19   1   1]
  ...
  [ 97  65  44]
  [ 92  60  37]
  [ 96  66  42]]

 [[ 21   3   0]
  [ 20   2   0]
  [ 19   0   0]
  ...
  [ 97  66  45]
  [ 92  62  38]
  [ 97  67  43]]]"
3875,5shgJB7a-2_gdnzc0gsOtg,Mango Mojito,drink,_6P69Kf3GqjwQh3fEAPELA,0,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_6P69Kf3GqjwQh3fEAPELA.jpg,"[[[39 19 18]
  [38 10  9]
  [48  9 10]
  ...
  [36 11 17]
  [35 18 24]
  [21 10  8]]

 [[41 20 17]
  [43 15 14]
  [51 13 12]
  ...
  [37 10 17]
  [35 18 24]
  [21 10  8]]

 [[39 18 13]
  [46 18 15]
  [52 14 11]
  ...
  [42 15 22]
  [41 22 28]
  [24 13 11]]

 ...

 [[11  7  6]
  [12  7  4]
  [13  8  4]
  ...
  [59 37 23]
  [58 39 25]
  [75 57 45]]

 [[ 5  9  8]
  [ 5 10  6]
  [ 6 11  5]
  ...
  [56 38 24]
  [53 37 24]
  [68 51 41]]

 [[ 4 10  8]
  [ 4 10  8]
  [ 5 11  7]
  ...
  [87 71 56]
  [80 66 53]
  [89 77 65]]]"
3964,YhCAJ8acd1X7GkCHPhD8Xw,,inside,_5lYaomowIxQxR6-XlvJ0w,2,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_5lYaomowIxQxR6-XlvJ0w.jpg,"[[[127 102 123]
  [119  96 152]
  [ 23  16 112]
  ...
  [  0   0   2]
  [  0   0   2]
  [  0   1   0]]

 [[105  71  98]
  [114  70 119]
  [132  90 166]
  ...
  [  0   0   2]
  [  0   0   2]
  [  0   1   0]]

 [[ 53  15  66]
  [104  43 102]
  [155  84 150]
  ...
  [  0   0   2]
  [  0   0   2]
  [  0   1   0]]

 ...

 [[ 89  66  60]
  [ 92  69  61]
  [ 93  71  60]
  ...
  [ 44  35  36]
  [ 32  24  22]
  [ 17   9   7]]

 [[ 63  43  42]
  [ 61  43  39]
  [ 51  36  29]
  ...
  [ 19  13  13]
  [ 14   8   8]
  [  8   2   2]]

 [[ 25   9  10]
  [ 20   8   8]
  [ 10   2   0]
  ...
  [  3   0   0]
  [  4   0   0]
  [  6   2   1]]]"
4240,VFVyecs0nMFA4xizXkzvKA,,food,_aAWetaUpA0Kp8yeXAB5Dg,1,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_aAWetaUpA0Kp8yeXAB5Dg.jpg,"[[[121  85  69]
  [114  72  58]
  [125  79  66]
  ...
  [185 177 190]
  [174 167 175]
  [138 130 128]]

 [[124  89  70]
  [126  87  70]
  [122  76  61]
  ...
  [186 178 191]
  [185 178 185]
  [165 157 155]]

 [[120  85  63]
  [148 110  89]
  [128  82  66]
  ...
  [178 170 183]
  [183 176 183]
  [177 169 167]]

 ...

 [[ 57  47  48]
  [ 59  49  50]
  [ 58  48  49]
  ...
  [185 151 113]
  [189 149 114]
  [189 149 114]]

 [[ 60  50  51]
  [ 62  52  53]
  [ 63  53  54]
  ...
  [187 152 110]
  [190 151 110]
  [190 151 112]]

 [[ 62  50  52]
  [ 67  55  55]
  [ 68  56  56]
  ...
  [191 152 109]
  [193 151 111]
  [193 151 111]]]"
4518,fTkbO_-v88Ldn_cJwxHYQQ,Express yourself ... freestyle social painting,inside,_bLksD0BX42iq4vgWNYggA,2,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_bLksD0BX42iq4vgWNYggA.jpg,"[[[123 100  68]
  [129 108  79]
  [ 89  73  50]
  ...
  [196 187 156]
  [194 185 154]
  [192 183 152]]

 [[119 100  70]
  [122 105  79]
  [ 44  31  12]
  ...
  [196 187 158]
  [194 185 156]
  [192 183 152]]

 [[113  98  75]
  [ 99  86  67]
  [ 65  56  41]
  ...
  [197 188 159]
  [195 186 157]
  [193 184 155]]

 ...

 [[ 32  22  12]
  [ 34  24  14]
  [ 34  24  14]
  ...
  [  2   2   2]
  [  2   2   2]
  [  2   2   2]]

 [[ 33  23  13]
  [ 35  25  15]
  [ 35  25  15]
  ...
  [  2   2   2]
  [  2   2   2]
  [  2   2   2]]

 [[ 33  23  13]
  [ 34  24  14]
  [ 35  25  15]
  ...
  [  1   1   1]
  [  1   1   1]
  [  1   1   1]]]"
4825,Mh84_j7YmRrAcm0DWV4bUw,,food,_ayajy_dMPRzz_T8Uc387w,1,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_ayajy_dMPRzz_T8Uc387w.jpg,"[[[ 19  18  16]
  [ 19  19  17]
  [ 18  18  18]
  ...
  [205 206 198]
  [106 107 101]
  [  3   3   1]]

 [[ 11  10   8]
  [ 10  10   8]
  [  9   9   9]
  ...
  [202 203 195]
  [ 94  95  89]
  [  1   1   0]]

 [[  4   3   1]
  [  2   2   0]
  [  0   0   0]
  ...
  [199 200 192]
  [ 77  78  73]
  [  0   0   0]]

 ...

 [[ 71   6  10]
  [102  76  79]
  [123 129 127]
  ...
  [104  97  71]
  [ 52  44  31]
  [ 43  33  31]]

 [[ 72   3   8]
  [ 97  68  70]
  [118 124 120]
  ...
  [ 76  67  50]
  [ 41  32  27]
  [ 43  32  36]]

 [[ 71   0   8]
  [ 90  60  60]
  [111 121 113]
  ...
  [ 56  46  34]
  [ 40  30  31]
  [ 47  35  45]]]"
4913,QJR4qBUHegWEozSQrGmBPw,Beet Salad,food,_5D3fFr5qq2HOFGO_qwTjg,1,/Users/supriyajain/Desktop/257/Project/yelp_photos/photos/smalldataset/_5D3fFr5qq2HOFGO_qwTjg.jpg,"[[[241 144  91]
  [240 142  93]
  [241 144  99]
  ...
  [  6   6   0]
  [  4   1   0]
  [ 10   7   2]]

 [[236 154  96]
  [237 152  97]
  [241 151 101]
  ...
  [ 18   9   4]
  [ 14   0   0]
  [ 23   8   5]]

 [[226 161  95]
  [230 158  99]
  [238 155 101]
  ...
  [ 47  21  20]
  [ 50  19  16]
  [ 55  21  19]]

 ...

 [[249 239 170]
  [255 246 192]
  [255 246 197]
  ...
  [190 114  80]
  [195 119  85]
  [199 123  89]]

 [[244 240 167]
  [251 246 190]
  [250 246 198]
  ...
  [193 115  79]
  [198 120  84]
  [203 123  88]]

 [[250 248 171]
  [255 254 195]
  [255 254 203]
  ...
  [195 115  78]
  [200 120  83]
  [204 124  87]]]"
